source,functions,application
TIMax Decor decorative inlay,prevent-visibility; upgrade-appearance; provide-weather-protection; facilitate-installation,decorative insert for ventilated curtain facades
TIMax GL Glass fibre insulation,enhance-heat insulation; scatter-light; reduce-solar heat,U-profiled glass façade systems
Timber-Sil,barrier-rot; barrier-decay; barrier-insects; fire-retardant; structural-stability,outdoor structural framing
Timber terrazzo,reclaim-nature; fashion-material; craft-surface; optimize-proportion; select-colors,flooring in public transport systems
Timbercrete,reduce energy consumption; act as carbon sink; provide fire protection,energy-efficient building material
Time Included Cloth,change appearance; increase interest; tempt users,wearable garments that evolve over time
Tinted carbon,enhance-noun; apply-noun; seal-noun; grind-noun; polish-noun,tinted carbon parts for automotive interiors
Tire Veneer,resist-stains; reduce-noise; provide-durability; offer-resilience; enhance-aesthetics,environmentally responsible flooring material
Tissavel cleaning materials,produce-polishing results; provide-abrasive action; clean-uneven surfaces; absorb-liquid,cleaning cloth for mirrors and windows
Tissu Tricote,mold-noun; filter-noun,filtering system for air or liquid
Tissue paper & clay ceramics,create-structure; explore-perception,decorative ceramic sculptures
TitanSilver,decrease reflections; provide antiquated surface; apply zinc surface,roof and façade systems
Titanwood,improve-durability; increase-hardness; enhance-hydrophobicity; reduce-swelling; alter-chemical-structure,UV resistant wood for outdoor furniture
TMF Valencia recycled glass,create-mosaic; impregnate-tile; sustainability-enhance,mosaic wall and floor tiles
Tomato Fibre Paper,create-paper; utilize-waste; ensure-quality,biobased paper for packaging
Tongkonan Coco Evo Bliss,offer 3D effect; provide natural shape; create cozy look; enable easy installation,decorative wall and ceiling panels
Topakustik,absorb-sound; provide-acoustics; finish-wall; finish-ceiling,acoustic wall and ceiling panels
TOPIA TEGEL,create-tile; fuse-materials; seal-surface; offer-alternative; enhance-durability,decorative wall and floor tiles
Toplin Top Coat Gloss,emulsify-water; provide-hand grease resistance; yield-fine processing,water-based paint for indoor restoration
Topperfo,absorb-sound; improve-acoustics,acoustic panels for walls and ceilings
TORCETEX,support-circularity; process-material waste; provide-beauty; stimulate-innovation,woven textile for interior design
Torzo Orient,provide modern look; increase strength; apply protection; add dimensional depth,interior wall paneling
Totomoxtle,reinforce-fibreboard; create-marquetry; surface-interiors; surface-furniture,interior surfacing veneer sheets
Touch of Nature,stimulating-sensorial properties; providing-acoustic comfort; offering-good aesthetics; creating-natural appearance,seamless flooring solutions for private and institutional projects
"Touch of Nature, walking on Coffee",provide-nature; create-flooring; offer-resilience; enhance-aesthetics,seamless floor covering
Tactile textiles in faced panels,create-acoustic climate; enhance-atmospheric environment; provide-tactile experience; combine-beauty with functionality,faced panels for interior walls
"TPE elastics, tube and cord",combine-properties; vary-compounds; resist-UV; resist-chemicals; cut-materials,elastic cord for medical applications
TRADITION Cork floor tiles,covering-floor; customize-size; provide-comfort; reduce-noise; enhance-aesthetics,interior floor covering tiles
Traditional Indian natural dyes,enhance biodiversity; reduce waste; support ecological restoration; offer vibrant colors,dyeing textiles with grape leaves
Train,provide-texture; treat-insects; retard-fire,interior wall paneling
Transparent Solar Cells,generate-power; provide-view; reduce-energy-consumption; protect-against-sun,transparent building façades
Transparenz,create-grid; pour-coloured resin; customize-patterns,interior dividing walls and table tops
Transpor Dry Layer,transport-moisture; evaporate-sweat; resist-stains; resist-odor,moisture-wicking sports clothing
TRAshell,manufacture-shell; apply-additives; achieve-sustainability,exterior façade cladding
Tree Free Paper,provide-durability; create-smoothness; offer-resilience,handmade paper for books
Tree of Culture,evoke mindfulness; remind of tree; reconnect cellulose; link conceptually,tangible objects that evoke connection to trees
Treekind®,reduce-carbon footprint; replace-leather; compostable-material; minimize-water usage,sustainable fashion accessories
Treeplast,absorb-shock; mould-injection; biodegrade-water; finish-wood,ergonomically designed laptop stand
Trend Glamour,create-decorative effect; provide-high transparency; resist-chemical influences; offer-low thermal conductivity; offer-wide colour range,mosaic decorations for wall coverings
Trespa® Meteon® Lumen Diffuse L9000,reflecting-light; refracting-light; muting-light,architectural cladding panels
Trespex B.W. Colored,provide-translucence; create-3D-effect; embed-vinyl,presentation shelves
tretford’s special feature,absorb moisture; release moisture; bind dust particles; provide warmth; reduce airborne dust,hygroscopic carpet for indoor spaces
TRI – the material that touches you,combine-naturals; produce-3D printed shapes; process-wood-like; design-sustainable products,lightweight wall and floor coverings
Triaxial Woven Fabric,maintain-structural integrity; reinforce-composite materials; respond-tensile deformation; respond-shear deformation,reinforcement for composite structures
Tribar facade solutions,permit-light; filter-light; block-light; isolate-noise; provide-visual-effect; create-endless-lines,grated stair panels
Tribar floor solutions,permit-light; filter-light; block-light; isolate-noise; create-visual-effect,grated stair panels for treads
Tricoya,demonstrate durability; provide dimensional stability; reduce water absorption; enhance resistance to decay,exterior and interior wall panels
Trifilon Revo®,reduce CO2 footprint; replace fossil plastics; achieve surface finishes,injection moulded components for consumer products
Trifilon Switch®,offer-sustainable choice; integrate-renewable feedstocks; achieve-surface finishes,eco-friendly consumer products
TriFold,enhance-compressive strength; equalize-compression and tension; reduce-surface area; support-flexibility,self-supportive sandwich structure
Tritan copolyester,offer-clarity; provide-toughness; ensure-heat resistance; resist-chemicals; allow-dishwasher safety,infant feeding bottles
Tropical Splash,create-pattern; provide-colour; offer-softness; enable-durability; allow-hand-working,decorative upholstery for furniture
Trosifol,provide-safety glass; offer-noise reduction; achieve-colour stability; ensure-light stability,laminated safety glass for architectural glazing
Formica® Patterns & Truescale Laminates,mimic-nature; reduce-cost; enhance-aesthetics,commercial interior surfaces
TT Sheet,allow sewing; enable thermoforming; provide genuine finish,fashion accessories and furniture
TTURA,meet-norms; resist-abrasion; resist-impact; resist-humidity; resist-liquids,decorative architectural panels
Tundra – Techno,offer long lifespan; provide good grip; ensure scratch resistance; allow easy processing,upholstery for healthcare environments
TUOHI,cover-noun; mount-verb; interlock-adjective,wall paneling for interior spaces
Turmeric as ‘mood booster’,boost-mood; absorb-sound; influence-color,sound-absorbing interior products
Twentinox Fabrics,provide strength; offer durability; allow welding; enable customization,architectural mesh panels
Twincolour,provide-decorative solution; allow-milling; ensure-strength; maintain-colour intensity,decorative wall paneling
Twinson,provide cladding; offer outdoor flooring; resist rot; ensure durability; reduce maintenance,cladding for building facades
TX Active,reduce-pollutants; enhance-aesthetics; decompose-micro-organisms,architectural concrete elements
Typha insulation,provide insulation; meet building standards; reduce CO2 emissions; lower energy use,insulation for cavity walls
Tyvek UV Façade & Tyvek Roofliner,provide-protection; offer-insulation; resist-mold,roof underlayment for sloped roofs
U-Turn,create-pattern; fit-tile; print-images; resist-UV; resist-frost,ceramic floor and wall tiles
UHPC Facade Panels,reduce raw materials; save energy; provide durability; create facade panels,architectural facade for public buildings
Ultra Lightweight Concrete,reduce sound; demonstrate insulation properties; adapt mechanical properties,sound-reducing concrete panels
Ultra thin stone veneer,provide aesthetic; enable flexibility; allow thermo-forming,laptop bags made with stone leather
Ultra thin tulle,create-fabric; enable-embroidery; provide-lightweight; allow-dyeing; support-printing,lingerie and fashion garments
