source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
ultra thin tulle,create fabric,enable embroidery,provide lightweight,allow dyeing,support printing,,lingerie and fashion garments
ultraglass,provide adhesion,resist scratch,resist alkaline,resist chemical,resist dishwasher,,drinking glasses and vases for restaurants
ultrasonic quilting,provide stretch,enhance comfort,enable quilting,,,,stretchable athletic wear
uncomfortable,reshape forms,connect panels,create objects,,,,3d structural panels and surfaces
underlite flooring,illuminate floor,cast lenses,replace bulb,change colour,,,illuminated flooring system
unico,provide aesthetic,offer durability,resist scratching,withstand weather,,,large format decorative tiles
unismooth,provide floor covering,offer colour options,resist scratch,ensure strength,support high traffic,,smooth flooring for public buildings
unravel,create garments,allow personalization,transform colors,adapt shapes,,,dynamic knitwear collection
untreated cast iron panels,reflect nature,drain water,refer back,,,,industrial building façade
unwasted,reduce waste,embrace variations,redefine ceramics,,,,high quality ceramic tiles
uonuon,enhance colour,resist scratch,resist weather,suit traffic,,,interior and exterior flooring
upcycled carbon black,replace pigment,enhance reinforcing characteristics,reduce processing costs,improve weather ability,increase tinting strength,,eco friendly pigment for inks and paints
upm formi,provide reinforcement,enable material reduction,allow variable wall thicknesses,exhibit strength,exhibit stiffness,,lightweight injection moulded components
upm profi composite,combine wood fibres,resist humidity,absorb low moisture,resist uv degradation,,,garden decks and patios
urban reef,encourage growth,create habitats,integrate systems,store nutrients,provide microclimates,,3d printed urban habitats for biodiversity
urban velvet lu,add noun,provide noun,blend noun,,,,photoluminescent flooring systems
urine glaze,provide nutrients,serve as glaze,reduce metal poisoning,,,,ceramic vessels inspired by human anatomy
vacupor,minimize infrared radiation,provide insulation,reduce thermal conductivity,,,,cold storage floor insulation
vacuum moulding,create moulds,design freedom,finish products,,,,customized plastic components
valchromat coloured mdf,cutting board,shaping board,finishing surface,,,,colorful furniture components
valchromat,bind resin,produce panel,process finish,,,,moisture resistant decorative panel
vanceva,enhance aesthetic,block uv radiation,provide structural benefits,customize colour,reduce solar transmission,,laminated glazing system for building facades
vanhier biocircular table lamps,moulded panels,recycled light,designed efficiently,,,,biocircular table lamp
vapourguard,collect rainfall water,eliminate water evaporation,reflect sun heat,prevent light penetration,reduce algae growth,,rainwater harvesting cover
varaform,impregnate resin,soften heat,mould reheat,form armature,,,rigid lightweight sculpture armature
varioline,provide flooring,resist chemicals,maintain lightweight,offer abrasion resistance,support playground equipment,,rear garage and gas locker flooring
varioplan plus,illuminate interior,handle easily,reduce costs,create flexibility,,,façade panels for industrial buildings
variotrans,transmit light,reflect light,filter wavelengths,,,,color changing window panel
vd works surface design,create surface designs,make to order,,,,,customized indoor and outdoor surfaces
vectogramm,transfer image,create structure,generate machining file,,,,facade design for buildings
vector glass,trap air,create patterns,fuse layers,,,,translucent room dividers
vectran,provide strength,offer rigidity,resist abrasion,minimize moisture absorption,,,marine and military rope and cable
vegetable tanned salmon leather,provide stiffness,achieve colour variations,resist wear,,,,high wear furniture upholstery
vegetables 2d,create paper,modify structure,provide biodegradability,offer edibility,,,edible business cards
vegetables 3d,create bowl,form vase,manufacture plates,,,,biodegradable tableware for indoor use
veilish,reduce sunlight,provide privacy,block view,install easily,cut in any shape,,self adhesive window covering
velero textile,create textile,reveal patterns,decorate crystals,,,,textile for fashion design
velvet indigo,create dyed fabric,expand material qualities,develop design concepts,,,,decorative plaid textiles
veneer moulded rotary cut,manufacture complex shapes,provide elasticity,retain technical properties,,,,ski and snowboard woodcores
ventri cow stomach leather,transform waste,create luxurious design,provide unique texture,,,,luxurious leather goods
veriflex,change shape,maintain strength,reshape material,recover shape,,,lightweight deployable structures
veritas resinart,create panels,provide flammability resistance,enable screen printing,allow custom capabilities,,,decorative wall panels for commercial environments
verometal and shop interiors,apply coating,achieve finish,provide flexibility,create design,,,luxurious shop interior elements
verometal antimicrobial,kill bacteria,neutralize viruses,form disinfectant layer,retain stainless steel appearance,provide self cleaning action,,antimicrobial coating for hospital surfaces
verometal applications,deposit coating,apply finish,produce effect,prevent staining,,,architectural façade cladding
verometal,coat surface,finish surface,adhere surface,apply surface,engineer design,,lightweight metal finish for interior design
versato crystal,create visual effect,provide uv resistance,offer weatherproofing,ensure optical purity,,,wall presentation display panels
versato myst,absorb light,create contrasts,transform space,produce mist effect,enhance depth,,lighting fixture with mist effect
versato translucent stone,visualizing nature,shaping light,uniting designs,,,,interior lighting feature
versato,connect design,shape structure,visualize aesthetics,,,,customized design solutions for creative projects
versawall versapanel,provide thermal protection,offer moisture protection,form strong panels,create weather tight roofs,,,insulated wall and roof panels
vertigo concrete,create tile,sculpt tile,ensure quality,,,,custom decorative wall tiles
vesta kuqua tiles,create patterned tiles,harden at high temperature,impress symbols,allow customization,,,decorative wall and floor tiles for residential buildings
vestaeco ldf,support construction,provide insulation,ensure durability,enable installation,,,low density fibreboard for interior finishing
vetro vivo,create mosaic,design aesthetic,provide durability,,,,decorative wall and pool mosaics
vibers,absorb nutrients,reinforce structure,biodegrade environmentally,,,,injection moulded packaging solutions
vibrato,create nature,provide structure,enhance aesthetics,,,,custom sliding doors with stained glass effect
vicrtex,provide aesthetic,resist scratching,withstand moisture,offer durability,,,wall covering for public spaces
vidom glasstiles,resist humidity,provide aesthetic,offer durability,,,,bathroom wall tiles
